,Titles,Tv,Ep,SD,Ed,Ratings,Genres,Source,Demographic,Producers
0,Fullmetal Alchemist: Brotherhood,TV,64 eps,Apr 2009, Jul 2010,9.09,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military', 'Shounen']",Manga,Shounen,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken']"
1,Steins;Gate,TV,24 eps,Apr 2011, Sep 2011,9.07,"['Drama', 'Sci-Fi', 'Suspense', 'Psychological', 'Time Travel']",Drama,Not specified,"['Frontier Works', 'Media Factory', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']"
2,Gintama°,TV,51 eps,Apr 2015, Mar 2016,9.06,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu']"
3,Shingeki no Kyojin Season 3 Part 2,TV,10 eps,Apr 2019, Jul 2019,9.05,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",Manga,Shounen,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']"
4,Gintama: The Final,Movie,,Jan 2021, Jan 2021,9.04,"['Action', 'Comedy', 'Drama', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']"
5,Gintama',TV,51 eps,Apr 2011, Mar 2012,9.03,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Studio Jack', 'Shueisha']"
6,Hunter x Hunter (2011),TV,,Oct 2011, Sep 2014,9.03,"['Action', 'Adventure', 'Fantasy', 'Shounen']",Manga,Shounen,"['VAP', 'Nippon Television Network', 'Shueisha']"
7,Ginga Eiyuu Densetsu,,,Jan 1988, Mar 1997,9.02,"['Drama', 'Sci-Fi', 'Adult Cast', 'Military', 'Space']",Drama,Not specified,"['TV Tokyo', 'Kitty Films', 'Tokuma Shoten', 'Tokuma Japan Communications', 'Wright Staff']"
8,Gintama': Enchousen,TV,13 eps,Oct 2012, Mar 2013,9.02,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Miracle Bus']"
9,Bleach: Sennen Kessen-hen,TV,13 eps,Oct 2022, Dec 2022,9.01,"['Action', 'Adventure', 'Fantasy', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']"
10,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13 eps,Apr 2022, Jun 2022,9.01,"['Comedy', 'Romance', 'School', 'Seinen']",Manga,Seinen,"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']"
11,Gintama.,TV,12 eps,Jan 2017, Mar 2017,8.98,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']"
12,Fruits Basket: The Final,TV,13 eps,Apr 2021, Jun 2021,8.97,"['Drama', 'Romance', 'Supernatural', 'Shoujo']",Manga,Shoujo,"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']"
13,Monogatari Series: Off & Monster Season,,,Jul 2024,,8.97,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",Light novel,Not specified,"['Aniplex', 'Kodansha', 'Rakuonsha']"
14,Koe no Katachi,Movie,,Sep 2016, Sep 2016,8.93,"['Award Winning', 'Drama', 'Romantic Subtext', 'Shounen']",Manga,Shounen,"['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras']"
15,Clannad: After Story,TV,24 eps,Oct 2008, Mar 2009,8.93,"['Drama', 'Romance', 'Supernatural']",Drama,Not specified,"['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']"
16,Gintama,TV,,Apr 2006, Mar 2010,8.93,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Audio Highs', 'Miracle Robo', 'Shueisha']"
17,3-gatsu no Lion 2nd Season,TV,22 eps,Oct 2017, Mar 2018,8.92,"['Drama', 'Childcare', 'Strategy Game', 'Seinen']",Manga,Seinen,"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]"
18,Code Geass: Hangyaku no Lelouch R2,TV,25 eps,Apr 2008, Sep 2008,8.91,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Super Power']",Action,Not specified,"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']"
19,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,,Jul 2013, Jul 2013,8.90,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Time Travel', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']"
20,Kusuriya no Hitorigoto,TV,24 eps,Oct 2023, Mar 2024,8.90,"['Drama', 'Mystery', 'Historical', 'Medical']",Light novel,Not specified,"['Dentsu', 'Square Enix', 'Nippon Television Network', 'TOHO animation', 'Shogakukan', 'Imagica Infos']"
21,Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV,,Mar 2023, Nov 2023,8.89,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",Manga,Shounen,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']"
22,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14 eps,Jul 2018, Oct 2018,8.88,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']"
23,Monster,TV,74 eps,Apr 2004, Sep 2005,8.88,"['Drama', 'Mystery', 'Suspense', 'Adult Cast', 'Psychological', 'Seinen']",Manga,Seinen,"['VAP', 'Shogakukan-Shueisha Productions', 'Nippon Television Network']"
24,Owarimonogatari 2nd Season,TV,,Aug 2017, Aug 2017,8.87,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",Light novel,Not specified,"['Aniplex', 'Kodansha']"
25,Violet Evergarden Movie,Movie,,Sep 2020, Sep 2020,8.86,"['Award Winning', 'Drama', 'Fantasy']",Light novel,Not specified,"['Shochiku', 'ABC Animation']"
26,Kimi no Na wa.,Movie,,Aug 2016, Aug 2016,8.84,"['Award Winning', 'Drama', 'Supernatural', 'Romantic Subtext']",Award Winning,Not specified,"['TOHO', 'Sound Team Don Juan', 'Lawson HMV Entertainment', 'Amuse', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting']"
27,Boku no Kokoro no Yabai Yatsu 2nd Season,TV,13 eps,Jan 2024, Mar 2024,8.83,"['Comedy', 'Romance', 'School', 'Shounen']",Manga,Shounen,"['Dentsu', 'TV Asahi', 'Movic', 'Magic Capsule', 'Avex Pictures', 'Akita Shoten', 'BS Asahi', 'TV Asahi Music']"
28,Jujutsu Kaisen 2nd Season,TV,23 eps,Jul 2023, Dec 2023,8.82,"['Action', 'Fantasy', 'Gore', 'School', 'Shounen']",Manga,Shounen,"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'dugout', 'Sumzap']"
29,Kingdom 3rd Season,TV,26 eps,Apr 2020, Oct 2021,8.82,"['Action', 'Historical', 'Military', 'Seinen']",Manga,Seinen,['Shueisha']
30,Vinland Saga Season 2,TV,24 eps,Jan 2023, Jun 2023,8.81,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']",Manga,Seinen,"['Dentsu', 'Kodansha', 'Twin Engine']"
31,Gintama.: Shirogane no Tamashii-hen,TV,12 eps,Jan 2018, Mar 2018,8.81,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']"
32,Mob Psycho 100 II,TV,13 eps,Jan 2019, Apr 2019,8.79,"['Action', 'Comedy', 'Supernatural', 'Super Power']",Web manga,Not specified,"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']"
33,Kizumonogatari III: Reiketsu-hen,Movie,,Jan 2017, Jan 2017,8.78,"['Action', 'Mystery', 'Supernatural', 'Vampire']",Light novel,Not specified,"['Aniplex', 'Kodansha']"
34,Bocchi the Rock!,TV,12 eps,Oct 2022, Dec 2022,8.78,"['Comedy', 'CGDCT', 'Music']",4-koma manga,Not specified,"['Aniplex', 'Houbunsha']"
35,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10 eps,Oct 2016, Dec 2016,8.78,"['Sports', 'School', 'Team Sports', 'Shounen']",Manga,Shounen,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']"
36,Shingeki no Kyojin: The Final Season,TV,16 eps,Dec 2020, Mar 2021,8.78,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",Manga,Shounen,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']"
37,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,,Dec 2022, Dec 2022,8.77,"['Comedy', 'Drama', 'Romance', 'School', 'Seinen']",Manga,Seinen,"['Aniplex', 'Mainichi Broadcasting System', 'Shueisha', 'JR East Marketing & Communications']"
38,Sen to Chihiro no Kamikakushi,Movie,,Jul 2001, Jul 2001,8.77,"['Adventure', 'Award Winning', 'Supernatural', 'Mythology']",Adventure,Not specified,"['Dentsu', 'TOHO', 'Tokuma Shoten', 'Tohokushinsha Film Corporation', 'Nippon Television Network', 'Mitsubishi']"
39,Hajime no Ippo,TV,75 eps,Oct 2000, Mar 2002,8.77,"['Sports', 'Combat Sports', 'Shounen']",Manga,Shounen,['VAP']
40,Shingeki no Kyojin: The Final Season Part 2,TV,12 eps,Jan 2022, Apr 2022,8.76,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",Manga,Shounen,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']"
41,Monogatari Series: Second Season,TV,26 eps,Jul 2013, Dec 2013,8.76,"['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']",Light novel,Not specified,"['Aniplex', 'Kodansha', 'Cyclone Graphics']"
42,Cowboy Bebop,TV,26 eps,Apr 1998, Apr 1999,8.75,"['Action', 'Award Winning', 'Sci-Fi', 'Adult Cast', 'Space']",Action,Not specified,['Bandai Visual']
43,Hibike! Euphonium 3,TV,13 eps,Apr 2024, Jun 2024,8.75,"['Drama', 'Music', 'Performing Arts', 'School']",Drama,Not specified,"['Lantis', 'Pony Canyon', 'Rakuonsha', 'ABC Animation', 'Heart Company', 'Bandai Namco Music Live']"
44,The First Slam Dunk,Movie,,Dec 2022, Dec 2022,8.75,"['Award Winning', 'Sports', 'School', 'Team Sports', 'Shounen']",Manga,Shounen,['Shueisha']
45,Vinland Saga,TV,24 eps,Jul 2019, Dec 2019,8.75,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']",Manga,Seinen,"['Production I.G', 'Dentsu', 'Kodansha', 'Twin Engine']"
46,Kimetsu no Yaiba: Yuukaku-hen,TV,11 eps,Dec 2021, Feb 2022,8.74,"['Action', 'Fantasy', 'Historical', 'Shounen']",Manga,Shounen,"['Aniplex', 'Shueisha']"
47,Kingdom 4th Season,TV,26 eps,Apr 2022, Oct 2022,8.74,"['Action', 'Historical', 'Military', 'Seinen']",Manga,Seinen,"['Avex Pictures', 'Shueisha', 'NHK Enterprises']"
48,Kingdom 5th Season,TV,13 eps,Jan 2024, Mar 2024,8.73,"['Action', 'Historical', 'Military', 'Seinen']",Manga,Seinen,"['Avex Pictures', 'Shueisha', 'Jinnan Studio', 'NHK Enterprises']"
49,Shiguang Dailiren,,11 eps,Apr 2021, Jul 2021,8.73,"['Drama', 'Mystery', 'Supernatural', 'Suspense', 'Adult Cast', 'Time Travel']",Drama,Not specified,"['bilibili', 'BeDream']"
50,Steins;Gate,TV,24 eps,Apr 2011, Sep 2011,9.07,"['Drama', 'Sci-Fi', 'Suspense', 'Psychological', 'Time Travel']",Drama,Not specified,"['Frontier Works', 'Media Factory', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']"
51,Gintama°,TV,51 eps,Apr 2015, Mar 2016,9.06,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu']"
52,Shingeki no Kyojin Season 3 Part 2,TV,10 eps,Apr 2019, Jul 2019,9.05,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",Manga,Shounen,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']"
53,Gintama: The Final,Movie,,Jan 2021, Jan 2021,9.04,"['Action', 'Comedy', 'Drama', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']"
54,Gintama',TV,51 eps,Apr 2011, Mar 2012,9.03,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Studio Jack', 'Shueisha']"
55,Hunter x Hunter (2011),TV,,Oct 2011, Sep 2014,9.03,"['Action', 'Adventure', 'Fantasy', 'Shounen']",Manga,Shounen,"['VAP', 'Nippon Television Network', 'Shueisha']"
56,Ginga Eiyuu Densetsu,,,Jan 1988, Mar 1997,9.02,"['Drama', 'Sci-Fi', 'Adult Cast', 'Military', 'Space']",Drama,Not specified,"['TV Tokyo', 'Kitty Films', 'Tokuma Shoten', 'Tokuma Japan Communications', 'Wright Staff']"
57,Gintama': Enchousen,TV,13 eps,Oct 2012, Mar 2013,9.02,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Miracle Bus']"
58,Bleach: Sennen Kessen-hen,TV,13 eps,Oct 2022, Dec 2022,9.01,"['Action', 'Adventure', 'Fantasy', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']"
59,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13 eps,Apr 2022, Jun 2022,9.01,"['Comedy', 'Romance', 'School', 'Seinen']",Manga,Seinen,"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']"
60,Gintama.,TV,12 eps,Jan 2017, Mar 2017,8.98,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']"
61,Fruits Basket: The Final,TV,13 eps,Apr 2021, Jun 2021,8.97,"['Drama', 'Romance', 'Supernatural', 'Shoujo']",Manga,Shoujo,"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']"
62,Monogatari Series: Off & Monster Season,,,Jul 2024,,8.97,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",Light novel,Not specified,"['Aniplex', 'Kodansha', 'Rakuonsha']"
63,Koe no Katachi,Movie,,Sep 2016, Sep 2016,8.93,"['Award Winning', 'Drama', 'Romantic Subtext', 'Shounen']",Manga,Shounen,"['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras']"
64,Clannad: After Story,TV,24 eps,Oct 2008, Mar 2009,8.93,"['Drama', 'Romance', 'Supernatural']",Drama,Not specified,"['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']"
65,Gintama,TV,,Apr 2006, Mar 2010,8.93,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Audio Highs', 'Miracle Robo', 'Shueisha']"
66,3-gatsu no Lion 2nd Season,TV,22 eps,Oct 2017, Mar 2018,8.92,"['Drama', 'Childcare', 'Strategy Game', 'Seinen']",Manga,Seinen,"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]"
67,Code Geass: Hangyaku no Lelouch R2,TV,25 eps,Apr 2008, Sep 2008,8.91,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Super Power']",Action,Not specified,"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']"
68,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,,Jul 2013, Jul 2013,8.90,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Time Travel', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']"
69,Kusuriya no Hitorigoto,TV,24 eps,Oct 2023, Mar 2024,8.90,"['Drama', 'Mystery', 'Historical', 'Medical']",Light novel,Not specified,"['Dentsu', 'Square Enix', 'Nippon Television Network', 'TOHO animation', 'Shogakukan', 'Imagica Infos']"
70,Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV,,Mar 2023, Nov 2023,8.89,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",Manga,Shounen,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']"
71,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14 eps,Jul 2018, Oct 2018,8.88,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']"
72,Monster,TV,74 eps,Apr 2004, Sep 2005,8.88,"['Drama', 'Mystery', 'Suspense', 'Adult Cast', 'Psychological', 'Seinen']",Manga,Seinen,"['VAP', 'Shogakukan-Shueisha Productions', 'Nippon Television Network']"
73,Owarimonogatari 2nd Season,TV,,Aug 2017, Aug 2017,8.87,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",Light novel,Not specified,"['Aniplex', 'Kodansha']"
74,Violet Evergarden Movie,Movie,,Sep 2020, Sep 2020,8.86,"['Award Winning', 'Drama', 'Fantasy']",Light novel,Not specified,"['Shochiku', 'ABC Animation']"
75,Kimi no Na wa.,Movie,,Aug 2016, Aug 2016,8.84,"['Award Winning', 'Drama', 'Supernatural', 'Romantic Subtext']",Award Winning,Not specified,"['TOHO', 'Sound Team Don Juan', 'Lawson HMV Entertainment', 'Amuse', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting']"
76,Boku no Kokoro no Yabai Yatsu 2nd Season,TV,13 eps,Jan 2024, Mar 2024,8.83,"['Comedy', 'Romance', 'School', 'Shounen']",Manga,Shounen,"['Dentsu', 'TV Asahi', 'Movic', 'Magic Capsule', 'Avex Pictures', 'Akita Shoten', 'BS Asahi', 'TV Asahi Music']"
77,Jujutsu Kaisen 2nd Season,TV,23 eps,Jul 2023, Dec 2023,8.82,"['Action', 'Fantasy', 'Gore', 'School', 'Shounen']",Manga,Shounen,"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'dugout', 'Sumzap']"
78,Kingdom 3rd Season,TV,26 eps,Apr 2020, Oct 2021,8.82,"['Action', 'Historical', 'Military', 'Seinen']",Manga,Seinen,['Shueisha']
79,Vinland Saga Season 2,TV,24 eps,Jan 2023, Jun 2023,8.81,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']",Manga,Seinen,"['Dentsu', 'Kodansha', 'Twin Engine']"
80,Gintama.: Shirogane no Tamashii-hen,TV,12 eps,Jan 2018, Mar 2018,8.81,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']"
81,Mob Psycho 100 II,TV,13 eps,Jan 2019, Apr 2019,8.79,"['Action', 'Comedy', 'Supernatural', 'Super Power']",Web manga,Not specified,"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']"
82,Kizumonogatari III: Reiketsu-hen,Movie,,Jan 2017, Jan 2017,8.78,"['Action', 'Mystery', 'Supernatural', 'Vampire']",Light novel,Not specified,"['Aniplex', 'Kodansha']"
83,Bocchi the Rock!,TV,12 eps,Oct 2022, Dec 2022,8.78,"['Comedy', 'CGDCT', 'Music']",4-koma manga,Not specified,"['Aniplex', 'Houbunsha']"
84,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10 eps,Oct 2016, Dec 2016,8.78,"['Sports', 'School', 'Team Sports', 'Shounen']",Manga,Shounen,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']"
85,Shingeki no Kyojin: The Final Season,TV,16 eps,Dec 2020, Mar 2021,8.78,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",Manga,Shounen,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']"
86,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,,Dec 2022, Dec 2022,8.77,"['Comedy', 'Drama', 'Romance', 'School', 'Seinen']",Manga,Seinen,"['Aniplex', 'Mainichi Broadcasting System', 'Shueisha', 'JR East Marketing & Communications']"
87,Sen to Chihiro no Kamikakushi,Movie,,Jul 2001, Jul 2001,8.77,"['Adventure', 'Award Winning', 'Supernatural', 'Mythology']",Adventure,Not specified,"['Dentsu', 'TOHO', 'Tokuma Shoten', 'Tohokushinsha Film Corporation', 'Nippon Television Network', 'Mitsubishi']"
88,Hajime no Ippo,TV,75 eps,Oct 2000, Mar 2002,8.77,"['Sports', 'Combat Sports', 'Shounen']",Manga,Shounen,['VAP']
89,Shingeki no Kyojin: The Final Season Part 2,TV,12 eps,Jan 2022, Apr 2022,8.76,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",Manga,Shounen,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']"
90,Monogatari Series: Second Season,TV,26 eps,Jul 2013, Dec 2013,8.76,"['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']",Light novel,Not specified,"['Aniplex', 'Kodansha', 'Cyclone Graphics']"
91,Cowboy Bebop,TV,26 eps,Apr 1998, Apr 1999,8.75,"['Action', 'Award Winning', 'Sci-Fi', 'Adult Cast', 'Space']",Action,Not specified,['Bandai Visual']
92,Hibike! Euphonium 3,TV,13 eps,Apr 2024, Jun 2024,8.75,"['Drama', 'Music', 'Performing Arts', 'School']",Drama,Not specified,"['Lantis', 'Pony Canyon', 'Rakuonsha', 'ABC Animation', 'Heart Company', 'Bandai Namco Music Live']"
93,The First Slam Dunk,Movie,,Dec 2022, Dec 2022,8.75,"['Award Winning', 'Sports', 'School', 'Team Sports', 'Shounen']",Manga,Shounen,['Shueisha']
94,Vinland Saga,TV,24 eps,Jul 2019, Dec 2019,8.75,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']",Manga,Seinen,"['Production I.G', 'Dentsu', 'Kodansha', 'Twin Engine']"
95,Kimetsu no Yaiba: Yuukaku-hen,TV,11 eps,Dec 2021, Feb 2022,8.74,"['Action', 'Fantasy', 'Historical', 'Shounen']",Manga,Shounen,"['Aniplex', 'Shueisha']"
96,Kingdom 4th Season,TV,26 eps,Apr 2022, Oct 2022,8.74,"['Action', 'Historical', 'Military', 'Seinen']",Manga,Seinen,"['Avex Pictures', 'Shueisha', 'NHK Enterprises']"
97,Kingdom 5th Season,TV,13 eps,Jan 2024, Mar 2024,8.73,"['Action', 'Historical', 'Military', 'Seinen']",Manga,Seinen,"['Avex Pictures', 'Shueisha', 'Jinnan Studio', 'NHK Enterprises']"
